Time (s),Source Voltage (V),Node 1 Voltage (V),Node 2 Voltage (V),Resistor Voltage (V),Resistor Current (A),Diode Current (A)
0.000092,2.731972,-2.731972,-2.731972,-0.000000,-2.636558e-14,0.000000e+00
0.000093,2.758229,-2.758229,-2.758229,-0.000000,-2.625766e-14,0.000000e+00
0.000094,2.784378,-2.784378,-2.784378,-0.000000,-2.614886e-14,0.000000e+00
0.000095,2.810417,-2.810417,-2.810417,-0.000000,-2.603873e-14,0.000000e+00
0.000096,2.836345,-2.836345,-2.836345,-0.000000,-2.592770e-14,0.000000e+00
0.000097,2.862161,-2.862161,-2.862161,-0.000000,-2.581579e-14,0.000000e+00
0.000098,2.887864,-2.887864,-2.887864,-0.000000,-2.570300e-14,0.000000e+00
0.000099,2.913452,-2.913452,-2.913452,-0.000000,-2.558886e-14,0.000000e+00
0.000100,2.938926,-2.938926,-2.938926,-0.000000,-2.547385e-14,0.000000e+00
0.000101,2.964284,-2.964284,-2.964284,-0.000000,-2.535794e-14,0.000000e+00
0.000102,2.989525,-2.989525,-2.989525,-0.000000,-2.524070e-14,0.000000e+00
0.000103,3.014648,-3.014648,-3.014648,-0.000000,-2.512301e-14,0.000000e+00
0.000104,3.039651,-3.039651,-3.039651,-0.000000,-2.500400e-14,0.000000e+00
0.000105,3.064535,-3.064535,-3.064535,-0.000000,-2.488365e-14,0.000000e+00
0.000106,3.089298,-3.089298,-3.089298,-0.000000,-2.476286e-14,0.000000e+00
0.000107,3.113939,-3.113939,-3.113939,-0.000000,-2.464073e-14,0.000000e+00
0.000108,3.138457,-3.138457,-3.138457,-0.000000,-2.451772e-14,0.000000e+00
0.000109,3.162851,-3.162851,-3.162851,-0.000000,-2.439382e-14,0.000000e+00
0.000110,3.187120,-3.187120,-3.187120,-0.000000,-2.426948e-14,0.000000e+00
0.000111,3.211263,-3.211263,-3.211263,-0.000000,-2.414335e-14,0.000000e+00
0.000112,3.235280,-3.235280,-3.235280,-0.000000,-2.401634e-14,0.000000e+00
0.000113,3.259169,-3.259169,-3.259169,-0.000000,-2.388889e-14,0.000000e+00
0.000114,3.282929,-3.282929,-3.282929,-0.000000,-2.376010e-14,0.000000e+00
0.000115,3.306559,-3.306559,-3.306559,-0.000000,-2.363088e-14,0.000000e+00
0.000116,3.330059,-3.330059,-3.330059,-0.000000,-2.349987e-14,0.000000e+00
0.000117,3.353428,-3.353428,-3.353428,-0.000000,-2.336886e-14,0.000000e+00
0.000118,3.376664,-3.376664,-3.376664,-0.000000,-2.323608e-14,0.000000e+00
0.000119,3.399767,-3.399767,-3.399767,-0.000000,-2.310285e-14,0.000000e+00
0.000120,3.422736,-3.422736,-3.422736,-0.000000,-2.296829e-14,0.000000e+00
0.000121,3.445569,-3.445569,-3.445569,-0.000000,-2.283329e-14,0.000000e+00
0.000122,3.468267,-3.468267,-3.468267,-0.000000,-2.269740e-14,0.000000e+00
0.000123,3.490827,-3.490827,-3.490827,-0.000000,-2.256062e-14,0.000000e+00
0.000124,3.513250,-3.513250,-3.513250,-0.000000,-2.242295e-14,0.000000e+00
0.000125,3.535534,-3.535534,-3.535534,-0.000000,-2.228395e-14,0.000000e+00
0.000126,3.557678,-3.557678,-3.557678,-0.000000,-2.214451e-14,0.000000e+00
0.000127,3.579682,-3.579682,-3.579682,-0.000000,-2.200373e-14,0.000000e+00
0.000128,3.601545,-3.601545,-3.601545,-0.000000,-2.186251e-14,0.000000e+00
0.000129,3.623266,-3.623266,-3.623266,-0.000000,-2.172040e-14,0.000000e+00
0.000130,3.644843,-3.644843,-3.644843,-0.000000,-2.157741e-14,0.000000e+00
0.000131,3.666277,-3.666277,-3.666277,-0.000000,-2.143352e-14,0.000000e+00
0.000132,3.687566,-3.687566,-3.687566,-0.000000,-2.128830e-14,0.000000e+00
0.000133,3.708709,-3.708709,-3.708709,-0.000000,-2.114353e-14,0.000000e+00
0.000134,3.729706,-3.729706,-3.729706,-0.000000,-2.099698e-14,0.000000e+00
0.000135,3.750555,-3.750555,-3.750555,-0.000000,-2.084954e-14,0.000000e+00
0.000136,3.771257,-3.771257,-3.771257,-0.000000,-2.070166e-14,0.000000e+00
0.000137,3.791810,-3.791810,-3.791810,-0.000000,-2.055289e-14,0.000000e+00
0.000138,3.812213,-3.812213,-3.812213,-0.000000,-2.040279e-14,0.000000e+00
0.000139,3.832465,-3.832465,-3.832465,-0.000000,-2.025224e-14,0.000000e+00
0.000140,3.852566,-3.852566,-3.852566,-0.000000,-2.010081e-14,0.000000e+00
0.000141,3.872515,-3.872515,-3.872515,-0.000000,-1.994893e-14,0.000000e+00
0.000142,3.892312,-3.892312,-3.892312,-0.000000,-1.979616e-14,0.000000e+00
0.000143,3.911954,-3.911954,-3.911954,-0.000000,-1.964207e-14,0.000000e+00
0.000144,3.931442,-3.931442,-3.931442,-0.000000,-1.948797e-14,0.000000e+00
0.000145,3.950775,-3.950775,-3.950775,-0.000000,-1.933342e-14,0.000000e+00
0.000146,3.969952,-3.969952,-3.969952,-0.000000,-1.917666e-14,0.000000e+00
0.000147,3.988972,-3.988972,-3.988972,-0.000000,-1.902078e-14,0.000000e+00
0.000148,4.007835,-4.007835,-4.007835,-0.000000,-1.886313e-14,0.000000e+00
0.000149,4.026539,-4.026539,-4.026539,-0.000000,-1.870415e-14,0.000000e+00
0.000150,4.045085,-4.045085,-4.045085,-0.000000,-1.854605e-14,0.000000e+00
0.000151,4.063471,-4.063471,-4.063471,-0.000000,-1.838618e-14,0.000000e+00
0.000152,4.081696,-4.081696,-4.081696,-0.000000,-1.822542e-14,0.000000e+00
0.000153,4.099761,-4.099761,-4.099761,-0.000000,-1.806466e-14,0.000000e+00
0.000154,4.117663,-4.117663,-4.117663,-0.000000,-1.790301e-14,0.000000e+00
0.000155,4.135403,-4.135403,-4.135403,-0.000000,-1.773959e-14,0.000000e+00
0.000156,4.152979,-4.152979,-4.152979,-0.000000,-1.757616e-14,0.000000e+00
0.000157,4.170392,-4.170392,-4.170392,-0.000000,-1.741363e-14,0.000000e+00
0.000158,4.187640,-4.187640,-4.187640,-0.000000,-1.724754e-14,0.000000e+00
0.000159,4.204723,-4.204723,-4.204723,-0.000000,-1.708322e-14,0.000000e+00
0.000160,4.221640,-4.221640,-4.221640,-0.000000,-1.691713e-14,0.000000e+00
0.000161,4.238390,-4.238390,-4.238390,-0.000000,-1.675016e-14,0.000000e+00
0.000162,4.254972,-4.254972,-4.254972,-0.000000,-1.658229e-14,0.000000e+00
0.000163,4.271387,-4.271387,-4.271387,-0.000000,-1.641531e-14,0.000000e+00
0.000164,4.287633,-4.287633,-4.287633,-0.000000,-1.624656e-14,0.000000e+00
0.000165,4.303710,-4.303710,-4.303710,-0.000000,-1.607603e-14,0.000000e+00
0.000166,4.319617,-4.319617,-4.319617,-0.000000,-1.590728e-14,0.000000e+00
0.000167,4.335354,-4.335354,-4.335354,-0.000000,-1.573675e-14,0.000000e+00
0.000168,4.350919,-4.350919,-4.350919,-0.000000,-1.556533e-14,0.000000e+00
0.000169,4.366312,-4.366312,-4.366312,-0.000000,-1.539302e-14,0.000000e+00
0.000170,4.381533,-4.381533,-4.381533,-0.000000,-1.522071e-14,0.000000e+00
0.000171,4.396582,-4.396582,-4.396582,-0.000000,-1.504841e-14,0.000000e+00
0.000172,4.411456,-4.411456,-4.411456,-0.000000,-1.487521e-14,0.000000e+00
0.000173,4.426157,-4.426157,-4.426157,-0.000000,-1.470024e-14,0.000000e+00
0.000174,4.440682,-4.440682,-4.440682,-0.000000,-1.452616e-14,0.000000e+00
0.000175,4.455033,-4.455033,-4.455033,-0.000000,-1.435030e-14,0.000000e+00
0.000176,4.469207,-4.469207,-4.469207,-0.000000,-1.417444e-14,0.000000e+00
0.000177,4.483205,-4.483205,-4.483205,-0.000000,-1.399769e-14,0.000000e+00
0.000178,4.497026,-4.497026,-4.497026,-0.000000,-1.382094e-14,0.000000e+00
0.000179,4.510670,-4.510670,-4.510670,-0.000000,-1.364420e-14,0.000000e+00
0.000180,4.524135,-4.524135,-4.524135,-0.000000,-1.346567e-14,0.000000e+00
0.000181,4.537422,-4.537422,-4.537422,-0.000000,-1.328715e-14,0.000000e+00
0.000182,4.550530,-4.550530,-4.550530,-0.000000,-1.310774e-14,0.000000e+00
0.000183,4.563458,-4.563458,-4.563458,-0.000000,-1.292833e-14,0.000000e+00
0.000184,4.576206,-4.576206,-4.576206,-0.000000,-1.274802e-14,0.000000e+00
0.000185,4.588773,-4.588773,-4.588773,-0.000000,-1.256772e-14,0.000000e+00
0.000186,4.601159,-4.601159,-4.601159,-0.000000,-1.238654e-14,0.000000e+00
0.000187,4.613364,-4.613364,-4.613364,-0.000000,-1.220446e-14,0.000000e+00
0.000188,4.625386,-4.625386,-4.625386,-0.000000,-1.202238e-14,0.000000e+00
0.000189,4.637226,-4.637226,-4.637226,-0.000000,-1.183942e-14,0.000000e+00
0.000190,4.648882,-4.648882,-4.648882,-0.000000,-1.165734e-14,0.000000e+00
0.000191,4.660356,-4.660356,-4.660356,-0.000000,-1.147260e-14,0.000000e+00
0.000192,4.671645,-4.671645,-4.671645,-0.000000,-1.128964e-14,0.000000e+00
0.000193,4.682749,-4.682749,-4.682749,-0.000000,-1.110489e-14,0.000000e+00
0.000194,4.693669,-4.693669,-4.693669,-0.000000,-1.091927e-14,0.000000e+00
0.000195,4.704404,-4.704404,-4.704404,-0.000000,-1.073452e-14,0.000000e+00
0.000196,4.714953,-4.714953,-4.714953,-0.000000,-1.054978e-14,0.000000e+00
0.000197,4.725315,-4.725315,-4.725315,-0.000000,-1.036238e-14,0.000000e+00
0.000198,4.735492,-4.735492,-4.735492,-0.000000,-1.017586e-14,0.000000e+00
0.000199,4.745481,-4.745481,-4.745481,-0.000000,-9.989343e-15,0.000000e+00
0.000200,4.755283,-4.755283,-4.755283,-0.000000,-9.801937e-15,0.000000e+00
0.000201,4.764897,-4.764897,-4.764897,-0.000000,-9.613643e-15,0.000000e+00
0.000202,4.774323,-4.774323,-4.774323,-0.000000,-9.426238e-15,0.000000e+00
0.000203,4.783560,-4.783560,-4.783560,-0.000000,-9.237944e-15,0.000000e+00
0.000204,4.792609,-4.792609,-4.792609,-0.000000,-9.048762e-15,0.000000e+00
0.000205,4.801468,-4.801468,-4.801468,-0.000000,-8.859580e-15,0.000000e+00
0.000206,4.810138,-4.810138,-4.810138,-0.000000,-8.670398e-15,0.000000e+00
0.000207,4.818618,-4.818618,-4.818618,-0.000000,-8.480328e-15,0.000000e+00
0.000208,4.826908,-4.826908,-4.826908,-0.000000,-8.289369e-15,0.000000e+00
0.000209,4.835007,-4.835007,-4.835007,-0.000000,-8.099299e-15,0.000000e+00
0.000210,4.842916,-4.842916,-4.842916,-0.000000,-7.908341e-15,0.000000e+00
0.000211,4.850633,-4.850633,-4.850633,-0.000000,-7.716494e-15,0.000000e+00
0.000212,4.858159,-4.858159,-4.858159,-0.000000,-7.526424e-15,0.000000e+00
0.000213,4.865493,-4.865493,-4.865493,-0.000000,-7.333689e-15,0.000000e+00
0.000214,4.872634,-4.872634,-4.872634,-0.000000,-7.141843e-15,0.000000e+00
0.000215,4.879584,-4.879584,-4.879584,-0.000000,-6.949108e-15,0.000000e+00
0.000216,4.886341,-4.886341,-4.886341,-0.000000,-6.756373e-15,0.000000e+00
0.000217,4.892905,-4.892905,-4.892905,-0.000000,-6.564527e-15,0.000000e+00
0.000218,4.899275,-4.899275,-4.899275,-0.000000,-6.370904e-15,0.000000e+00
0.000219,4.905453,-4.905453,-4.905453,-0.000000,-6.177281e-15,0.000000e+00
0.000220,4.911436,-4.911436,-4.911436,-0.000000,-5.983658e-15,0.000000e+00
0.000221,4.917226,-4.917226,-4.917226,-0.000000,-5.790035e-15,0.000000e+00
0.000222,4.922822,-4.922822,-4.922822,-0.000000,-5.595524e-15,0.000000e+00
0.000223,4.928223,-4.928223,-4.928223,-0.000000,-5.401901e-15,0.000000e+00
0.000224,4.933430,-4.933430,-4.933430,-0.000000,-5.206502e-15,0.000000e+00
0.000225,4.938442,-4.938442,-4.938442,-0.000000,-5.012879e-15,0.000000e+00
0.000226,4.943259,-4.943259,-4.943259,-0.000000,-4.816592e-15,0.000000e+00
0.000227,4.947881,-4.947881,-4.947881,-0.000000,-4.622080e-15,0.000000e+00
0.000228,4.952307,-4.952307,-4.952307,-0.000000,-4.426681e-15,0.000000e+00
0.000229,4.956538,-4.956538,-4.956538,-0.000000,-4.231282e-15,0.000000e+00
0.000230,4.960574,-4.960574,-4.960574,-0.000000,-4.035883e-15,0.000000e+00
0.000231,4.964413,-4.964413,-4.964413,-0.000000,-3.839595e-15,0.000000e+00
0.000232,4.968057,-4.968057,-4.968057,-0.000000,-3.642420e-15,0.000000e+00
0.000233,4.971504,-4.971504,-4.971504,-0.000000,-3.447020e-15,0.000000e+00
0.000234,4.974755,-4.974755,-4.974755,-0.000000,-3.251621e-15,0.000000e+00
0.000235,4.977810,-4.977810,-4.977810,-0.000000,-3.055334e-15,0.000000e+00
0.000236,4.980668,-4.980668,-4.980668,-0.000000,-2.858158e-15,0.000000e+00
0.000237,4.983330,-4.983330,-4.983330,-0.000000,-2.661871e-15,0.000000e+00
0.000238,4.985795,-4.985795,-4.985795,-0.000000,-2.464695e-15,0.000000e+00
0.000239,4.988063,-4.988063,-4.988063,-0.000000,-2.267520e-15,0.000000e+00
0.000240,4.990134,-4.990134,-4.990134,-0.000000,-2.070344e-15,0.000000e+00
0.000241,4.992008,-4.992008,-4.992008,-0.000000,-1.874945e-15,0.000000e+00
0.000242,4.993685,-4.993685,-4.993685,-0.000000,-1.676881e-15,0.000000e+00
0.000243,4.995165,-4.995165,-4.995165,-0.000000,-1.479705e-15,0.000000e+00
0.000244,4.996447,-4.996447,-4.996447,-0.000000,-1.282530e-15,0.000000e+00
0.000245,4.997533,-4.997533,-4.997533,-0.000000,-1.085354e-15,0.000000e+00
0.000246,4.998421,-4.998421,-4.998421,-0.000000,-8.872902e-16,0.000000e+00
0.000247,4.999112,-4.999112,-4.999112,-0.000000,-6.910028e-16,0.000000e+00
0.000248,4.999605,-4.999605,-4.999605,-0.000000,-4.938272e-16,0.000000e+00
0.000249,4.999901,-4.999901,-4.999901,-0.000000,-2.957634e-16,0.000000e+00
0.000250,5.000000,-5.000000,-5.000000,-0.000000,-9.858780e-17,0.000000e+00
0.000251,4.999901,-4.999901,-4.999901,0.000000,9.947598e-17,0.000000e+00
0.000252,4.999605,-4.999605,-4.999605,0.000000,2.966516e-16,0.000000e+00
0.000253,4.999112,-4.999112,-4.999112,0.000000,4.929390e-16,0.000000e+00
0.000254,4.998421,-4.998421,-4.998421,0.000000,6.910028e-16,0.000000e+00
0.000255,4.997533,-4.997533,-4.997533,0.000000,8.881784e-16,0.000000e+00
0.000256,4.996447,-4.996447,-4.996447,0.000000,1.085354e-15,0.000000e+00
0.000257,4.995165,-4.995165,-4.995165,0.000000,1.283418e-15,0.000000e+00
0.000258,4.993685,-4.993685,-4.993685,0.000000,1.479705e-15,0.000000e+00
0.000259,4.992008,-4.992008,-4.992008,0.000000,1.676881e-15,0.000000e+00
0.000260,4.990134,-4.990134,-4.990134,0.000000,1.874056e-15,0.000000e+00
0.000261,4.988063,-4.988063,-4.988063,0.000000,2.071232e-15,0.000000e+00
0.000262,4.985795,-4.985795,-4.985795,0.000000,2.268408e-15,0.000000e+00
0.000263,4.983330,-4.983330,-4.983330,0.000000,2.465583e-15,0.000000e+00
0.000264,4.980668,-4.980668,-4.980668,0.000000,2.661871e-15,0.000000e+00
0.000265,4.977810,-4.977810,-4.977810,0.000000,2.858158e-15,0.000000e+00
0.000266,4.974755,-4.974755,-4.974755,0.000000,3.054446e-15,0.000000e+00
0.000267,4.971504,-4.971504,-4.971504,0.000000,3.251621e-15,0.000000e+00
0.000268,4.968057,-4.968057,-4.968057,0.000000,3.447909e-15,0.000000e+00
0.000269,4.964413,-4.964413,-4.964413,0.000000,3.643308e-15,0.000000e+00
0.000270,4.960574,-4.960574,-4.960574,0.000000,3.839595e-15,0.000000e+00
0.000271,4.956538,-4.956538,-4.956538,0.000000,4.035883e-15,0.000000e+00
0.000272,4.952307,-4.952307,-4.952307,0.000000,4.231282e-15,0.000000e+00
0.000273,4.947881,-4.947881,-4.947881,0.000000,4.425793e-15,0.000000e+00
0.000274,4.943259,-4.943259,-4.943259,0.000000,4.622080e-15,0.000000e+00
0.000275,4.938442,-4.938442,-4.938442,0.000000,4.817480e-15,0.000000e+00
0.000276,4.933430,-4.933430,-4.933430,0.000000,5.011991e-15,0.000000e+00
0.000277,4.928223,-4.928223,-4.928223,0.000000,5.206502e-15,0.000000e+00
0.000278,4.922822,-4.922822,-4.922822,0.000000,5.401013e-15,0.000000e+00
0.000279,4.917226,-4.917226,-4.917226,0.000000,5.595524e-15,0.000000e+00
0.000280,4.911436,-4.911436,-4.911436,0.000000,5.790035e-15,0.000000e+00
0.000281,4.905453,-4.905453,-4.905453,0.000000,5.983658e-15,0.000000e+00
0.000282,4.899275,-4.899275,-4.899275,0.000000,6.177281e-15,0.000000e+00
0.000283,4.892905,-4.892905,-4.892905,0.000000,6.370904e-15,0.000000e+00
0.000284,4.886341,-4.886341,-4.886341,0.000000,6.564527e-15,0.000000e+00
0.000285,4.879584,-4.879584,-4.879584,0.000000,6.756373e-15,0.000000e+00
0.000286,4.872634,-4.872634,-4.872634,0.000000,6.949108e-15,0.000000e+00
0.000287,4.865493,-4.865493,-4.865493,0.000000,7.141843e-15,0.000000e+00
0.000288,4.858159,-4.858159,-4.858159,0.000000,7.333689e-15,0.000000e+00
0.000289,4.850633,-4.850633,-4.850633,0.000000,7.526424e-15,0.000000e+00
0.000290,4.842916,-4.842916,-4.842916,0.000000,7.716494e-15,0.000000e+00
0.000291,4.835007,-4.835007,-4.835007,0.000000,7.909229e-15,0.000000e+00
0.000292,4.826908,-4.826908,-4.826908,0.000000,8.099299e-15,0.000000e+00
0.000293,4.818618,-4.818618,-4.818618,0.000000,8.289369e-15,0.000000e+00
0.000294,4.810138,-4.810138,-4.810138,0.000000,8.480328e-15,0.000000e+00
0.000295,4.801468,-4.801468,-4.801468,0.000000,8.670398e-15,0.000000e+00
0.000296,4.792609,-4.792609,-4.792609,0.000000,8.859580e-15,0.000000e+00
0.000297,4.783560,-4.783560,-4.783560,0.000000,9.048762e-15,0.000000e+00
0.000298,4.774323,-4.774323,-4.774323,0.000000,9.237944e-15,0.000000e+00
0.000299,4.764897,-4.764897,-4.764897,0.000000,9.426238e-15,0.000000e+00
0.000300,4.755283,-4.755283,-4.755283,0.000000,9.613643e-15,0.000000e+00
0.000301,4.745481,-4.745481,-4.745481,0.000000,9.801937e-15,0.000000e+00
0.000302,4.735492,-4.735492,-4.735492,0.000000,9.989343e-15,0.000000e+00
0.000303,4.725315,-4.725315,-4.725315,0.000000,1.017675e-14,0.000000e+00
0.000304,4.714953,-4.714953,-4.714953,0.000000,1.036238e-14,0.000000e+00
0.000305,4.704404,-4.704404,-4.704404,0.000000,1.054890e-14,0.000000e+00
0.000306,4.693669,-4.693669,-4.693669,0.000000,1.073452e-14,0.000000e+00
0.000307,4.682749,-4.682749,-4.682749,0.000000,1.091927e-14,0.000000e+00
0.000308,4.671645,-4.671645,-4.671645,0.000000,1.110489e-14,0.000000e+00
0.000309,4.660356,-4.660356,-4.660356,0.000000,1.128964e-14,0.000000e+00
