Time(s),Switch State,V1(V),V2(V),V3(V),Capacitor Voltage(V)
0.004000,CLOSED,-5.000000,-4.999999,-4.323591,-4.323591
0.004050,CLOSED,-5.000000,-4.999999,-4.355801,-4.355801
0.004100,CLOSED,-5.000000,-4.999999,-4.386477,-4.386477
0.004150,CLOSED,-5.000000,-4.999999,-4.415692,-4.415692
0.004200,CLOSED,-5.000000,-4.999999,-4.443516,-4.443516
0.004250,CLOSED,-5.000000,-4.999999,-4.470015,-4.470015
0.004300,CLOSED,-5.000000,-4.999999,-4.495253,-4.495253
0.004350,CLOSED,-5.000000,-5.000000,-4.519288,-4.519288
0.004400,CLOSED,-5.000000,-5.000000,-4.542179,-4.542179
0.004450,CLOSED,-5.000000,-5.000000,-4.563980,-4.563980
0.004500,CLOSED,-5.000000,-5.000000,-4.584743,-4.584743
0.004550,CLOSED,-5.000000,-5.000000,-4.604517,-4.604517
0.004600,CLOSED,-5.000000,-5.000000,-4.623350,-4.623350
0.004650,CLOSED,-5.000000,-5.000000,-4.641285,-4.641285
0.004700,CLOSED,-5.000000,-5.000000,-4.658367,-4.658367
0.004750,CLOSED,-5.000000,-5.000000,-4.674635,-4.674635
0.004800,CLOSED,-5.000000,-5.000000,-4.690129,-4.690129
0.004850,CLOSED,-5.000000,-5.000000,-4.704885,-4.704885
0.004900,CLOSED,-5.000000,-5.000000,-4.718938,-4.718938
0.004950,CLOSED,-5.000000,-5.000000,-4.732322,-4.732322
0.005000,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005050,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005100,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005150,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005200,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005250,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005300,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005350,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005400,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005450,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005500,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005550,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005600,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005650,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005700,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005750,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005800,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005850,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005900,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.005950,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006000,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006050,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006100,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006150,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006200,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006250,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006300,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006350,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006400,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006450,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006500,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006550,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006600,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006650,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006700,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006750,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
