Time,Input,Output,DiodeCurrent
0.000013,0.395427,-1.064798,-0.001065
0.000013,0.398559,-1.067916,-0.001068
0.000013,0.401691,-1.071034,-0.001071
0.000013,0.404822,-1.074151,-0.001074
0.000013,0.407953,-1.077268,-0.001077
0.000013,0.411084,-1.080385,-0.001080
0.000013,0.414215,-1.083502,-0.001084
0.000013,0.417346,-1.086619,-0.001087
0.000013,0.420476,-1.089735,-0.001090
0.000013,0.423607,-1.092852,-0.001093
0.000014,0.426737,-1.095968,-0.001096
0.000014,0.429867,-1.099084,-0.001099
0.000014,0.432997,-1.102200,-0.001102
0.000014,0.436126,-1.105316,-0.001105
0.000014,0.439256,-1.108431,-0.001108
0.000014,0.442385,-1.111547,-0.001112
0.000014,0.445515,-1.114662,-0.001115
0.000014,0.448644,-1.117777,-0.001118
0.000014,0.451772,-1.120892,-0.001121
0.000015,0.454901,-1.124006,-0.001124
0.000015,0.458029,-1.127121,-0.001127
0.000015,0.461158,-1.130235,-0.001130
0.000015,0.464286,-1.133349,-0.001133
0.000015,0.467414,-1.136463,-0.001136
0.000015,0.470542,-1.139577,-0.001140
0.000015,0.473669,-1.142691,-0.001143
0.000015,0.476796,-1.145804,-0.001146
0.000015,0.479924,-1.148917,-0.001149
0.000015,0.483051,-1.152030,-0.001152
0.000016,0.486177,-1.155143,-0.001155
0.000016,0.489304,-1.158256,-0.001158
0.000016,0.492430,-1.161368,-0.001161
0.000016,0.495557,-1.164480,-0.001164
0.000016,0.498683,-1.167592,-0.001168
0.000016,0.501809,-1.170704,-0.001171
0.000016,0.504934,-1.173816,-0.001174
0.000016,0.508060,-1.176927,-0.001177
0.000016,0.511185,-1.180039,-0.001180
0.000016,0.514310,-1.183150,-0.001183
0.000016,0.517435,-1.186261,-0.001186
0.000017,0.520559,-1.189371,-0.001189
0.000017,0.523684,-1.192482,-0.001192
0.000017,0.526808,-1.195592,-0.001196
0.000017,0.529932,-1.198702,-0.001199
0.000017,0.533056,-1.201812,-0.001202
0.000017,0.536179,-1.204921,-0.001205
0.000017,0.539303,-1.208031,-0.001208
0.000017,0.542426,-1.211140,-0.001211
0.000017,0.545549,-1.214249,-0.001214
0.000017,0.548672,-1.217358,-0.001217
0.000018,0.551794,-1.220466,-0.001220
0.000018,0.554916,-1.223575,-0.001224
0.000018,0.558038,-1.226683,-0.001227
0.000018,0.561160,-1.229791,-0.001230
0.000018,0.564282,-1.232898,-0.001233
0.000018,0.567403,-1.236006,-0.001236
0.000018,0.570525,-1.239113,-0.001239
0.000018,0.573645,-1.242220,-0.001242
0.000018,0.576766,-1.245327,-0.001245
0.000018,0.579887,-1.248434,-0.001248
0.000019,0.583007,-1.251540,-0.001252
0.000019,0.586127,-1.254646,-0.001255
0.000019,0.589247,-1.257752,-0.001258
0.000019,0.592366,-1.260858,-0.001261
0.000019,0.595486,-1.263963,-0.001264
0.000019,0.598605,-1.267068,-0.001267
0.000019,0.601724,-1.270173,-0.001270
0.000019,0.604842,-1.273278,-0.001273
0.000019,0.607961,-1.276382,-0.001276
0.000019,0.611079,-1.279486,-0.001279
0.000020,0.614197,-1.282590,-0.001283
0.000020,0.617315,-1.285694,-0.001286
0.000020,0.620432,-1.288798,-0.001289
